id,total,name,bez,stark_sinkend,leicht_sinkend,kein_starker_trend,leicht_steigend,stark_steigend,search,bbox,center
08335,27,Konstanz,lk,0,3,19,3,2,konstanz landkreis,"8.6139,47.6521,9.2178,47.9422","8.9102,47.7982"
08336,36,Lörrach,lk,1,2,32,0,1,lörrach landkreis,"7.5119,47.5324,8.0223,47.8803","7.774,47.7035"
08337,6,Waldshut,lk,0,1,5,0,0,waldshut landkreis,"7.8711,47.5438,8.629,47.8585","8.2189,47.6971"
08415,0,Reutlingen,lk,0,0,0,0,0,reutlingen landkreis,"9.1146,48.1949,9.6388,48.6056","9.3657,48.4065"
08416,0,Tübingen,lk,0,0,0,0,0,tübingen landkreis,"8.7557,48.3628,9.1757,48.6228","8.9876,48.4818"
08417,0,Zollernalbkreis,lk,0,0,0,0,0,zollernalbkreis landkreis,"8.6478,48.1036,9.2218,48.4175","8.9375,48.2673"
08421,3,Ulm,sk,0,0,3,0,0,ulm stadtkreis,"9.8431,48.3069,10.0424,48.4685","9.95,48.3909"
08425,68,Alb-Donau-Kreis,lk,9,13,34,9,3,alb-donau-kreis landkreis,"9.4892,48.1423,10.2414,48.6318","9.8274,48.4017"
08426,123,Biberach,lk,1,17,81,17,7,biberach landkreis,"9.2603,47.9457,10.144,48.294","9.7743,48.1076"
08435,17,Bodenseekreis,lk,0,2,14,1,0,bodenseekreis landkreis,"9.0656,47.5812,9.7443,47.8822","9.4008,47.7335"
08436,88,Ravensburg,lk,1,5,80,2,0,ravensburg landkreis,"9.376,47.6018,10.1397,48.0055","9.7799,47.825"
08437,22,Sigmaringen,lk,0,1,12,6,3,sigmaringen landkreis,"8.9342,47.8172,9.6049,48.2891","9.241,48.0391"
09161,2,Ingolstadt,ks,0,0,1,0,1,ingolstadt kreisfreie stadt,"11.2559,48.6843,11.5033,48.8231","11.3948,48.7552"
09162,4,München,ks,0,0,3,1,0,münchen kreisfreie stadt,"11.3609,48.0616,11.7231,48.2481","11.5473,48.1532"
09163,27,Rosenheim,ks,2,3,21,0,1,rosenheim kreisfreie stadt,"12.0543,47.8105,12.1531,47.8871","12.1092,47.8445"
09171,16,Altötting,lk,9,2,4,1,0,altötting landkreis,"12.5425,48.0444,12.9447,48.3584","12.7053,48.2098"
09172,5,Berchtesgadener Land,lk,0,1,4,0,0,berchtesgadener land landkreis,"12.6959,47.4634,13.0987,47.9626","12.9018,47.6985"
09173,5,Bad Tölz-Wolfratshausen,lk,0,3,2,0,0,bad tölz-wolfratshausen landkreis,"11.2627,47.4953,11.6801,47.9802","11.4831,47.7275"
09174,1,Dachau,lk,0,0,0,0,1,dachau landkreis,"11.1103,48.2016,11.5821,48.4555","11.3571,48.3345"
09175,8,Ebersberg,lk,2,6,0,0,0,ebersberg landkreis,"11.7478,47.9312,12.1003,48.2269","11.9132,48.0762"
09176,7,Eichstätt,lk,0,1,6,0,0,eichstätt landkreis,"10.9368,48.7328,11.7441,49.0877","11.3704,48.8981"
09177,2,Erding,lk,0,1,1,0,0,erding landkreis,"11.7314,48.1404,12.2551,48.4548","12.0006,48.3004"
09178,5,Freising,lk,0,3,2,0,0,freising landkreis,"11.4925,48.2659,12.0193,48.6166","11.7407,48.4473"
09179,6,Fürstenfeldbruck,lk,0,1,5,0,0,fürstenfeldbruck landkreis,"10.9929,48.0878,11.4125,48.2967","11.2011,48.1878"
09180,7,Garmisch-Partenkirchen,lk,0,0,7,0,0,garmisch-partenkirchen landkreis,"10.8695,47.3934,11.4215,47.737","11.1296,47.5564"
09181,4,Landsberg am Lech,lk,0,1,3,0,0,landsberg am lech landkreis,"10.7483,47.8423,11.1702,48.2367","10.9487,48.0244"
09182,2,Miesbach,lk,0,0,2,0,0,miesbach landkreis,"11.598,47.5812,12.0624,47.9426","11.809,47.7416"
09183,7,Mühldorf a. Inn,lk,2,0,2,3,0,mühldorf a. inn landkreis,"12.0321,48.0831,12.6095,48.4297","12.3818,48.2393"
09184,9,München,lk,1,2,6,0,0,münchen landkreis,"11.3852,47.917,11.8521,48.2995","11.6314,48.0745"
09185,40,Neuburg-Schrobenhausen,lk,4,13,22,0,1,neuburg-schrobenhausen landkreis,"10.9474,48.4637,11.4574,48.8229","11.1972,48.6644"
09186,7,Pfaffenhofen a.d. Ilm,lk,0,2,5,0,0,pfaffenhofen a.d. ilm landkreis,"11.2951,48.4062,11.72,48.8143","11.5242,48.5963"
09187,38,Rosenheim,lk,0,7,26,4,1,rosenheim landkreis,"11.8018,47.6009,12.444,48.1432","12.1628,47.8784"
09188,3,Starnberg,lk,0,0,3,0,0,starnberg landkreis,"11.1292,47.8207,11.4341,48.1362","11.2817,48.006"
09189,15,Traunstein,lk,3,4,7,1,0,traunstein landkreis,"12.3236,47.625,12.8858,48.1639","12.5795,47.8945"
09190,4,Weilheim-Schongau,lk,0,0,4,0,0,weilheim-schongau landkreis,"10.7159,47.6156,11.43,47.9548","11.0483,47.7875"
09261,11,Landshut,ks,0,0,9,1,1,landshut kreisfreie stadt,"12.0194,48.5082,12.2849,48.5955","12.1594,48.5447"
09262,0,Passau,ks,0,0,0,0,0,passau kreisfreie stadt,"13.3025,48.5404,13.5143,48.6134","13.4152,48.5821"
09263,0,Straubing,ks,0,0,0,0,0,straubing kreisfreie stadt,"12.4802,48.8417,12.6674,48.9243","12.5736,48.8808"
09271,82,Deggendorf,lk,4,10,51,13,4,deggendorf landkreis,"12.7496,48.5989,13.2593,48.957","13.0007,48.7787"
09272,0,Freyung-Grafenau,lk,0,0,0,0,0,freyung-grafenau landkreis,"13.1679,48.682,13.8396,48.9834","13.5133,48.8269"
09273,4,Kelheim,lk,0,0,4,0,0,kelheim landkreis,"11.5949,48.5787,12.1338,49.0233","11.8576,48.8249"
09274,6,Landshut,lk,1,2,3,0,0,landshut landkreis,"11.8779,48.3163,12.5092,48.7726","12.1954,48.5578"
09275,1,Passau,lk,0,0,1,0,0,passau landkreis,"12.9834,48.2929,13.8376,48.7617","13.3666,48.5587"
09276,0,Regen,lk,0,0,0,0,0,regen landkreis,"12.7638,48.8572,13.4167,49.1736","13.0998,49.0228"
09277,5,Rottal-Inn,lk,1,3,1,0,0,rottal-inn landkreis,"12.4706,48.2067,13.177,48.6171","12.8674,48.4245"
09278,1,Straubing-Bogen,lk,0,0,1,0,0,straubing-bogen landkreis,"12.1277,48.7156,12.8914,49.1195","12.5824,48.8997"
09279,21,Dingolfing-Landau,lk,0,2,17,1,1,dingolfing-landau landkreis,"12.3242,48.4805,12.9674,48.7994","12.6105,48.6412"
09361,0,Amberg,ks,0,0,0,0,0,amberg kreisfreie stadt,"11.7767,49.4118,11.9146,49.4971","11.8454,49.4509"
09362,2,Regensburg,ks,0,1,1,0,0,regensburg kreisfreie stadt,"12.0293,48.9669,12.1917,49.0762","12.1137,49.013"
09363,0,Weiden i.d. OPf.,ks,0,0,0,0,0,weiden i.d. opf. kreisfreie stadt,"12.064,49.6146,12.2665,49.7119","12.1545,49.6692"
09371,0,Amberg-Sulzbach,lk,0,0,0,0,0,amberg-sulzbach landkreis,"11.5109,49.2144,12.1196,49.7609","11.8009,49.4867"
09372,2,Cham,lk,0,0,2,0,0,cham landkreis,"12.3043,49.0286,13.1709,49.4906","12.6943,49.2371"
09373,0,Neumarkt i.d. OPf.,lk,0,0,0,0,0,neumarkt i.d. opf. landkreis,"11.186,48.9515,11.9425,49.4325","11.5666,49.216"
09374,1,Neustadt a.d. Waldnaab,lk,0,0,1,0,0,neustadt a.d. waldnaab landkreis,"11.6287,49.5039,12.5938,49.8562","12.0982,49.6866"
09375,1,Regensburg,lk,0,1,0,0,0,regensburg landkreis,"11.6591,48.7649,12.4913,49.2236","12.1212,49.0214"
09376,0,Schwandorf,lk,0,0,0,0,0,schwandorf landkreis,"11.9342,49.1434,12.6443,49.594","12.2525,49.3685"
09377,0,Tirschenreuth,lk,0,0,0,0,0,tirschenreuth landkreis,"11.8038,49.7538,12.5513,50.0614","12.2003,49.8994"
09461,0,Bamberg,ks,0,0,0,0,0,bamberg kreisfreie stadt,"10.8264,49.8425,10.96,49.927","10.8989,49.8872"
09462,0,Bayreuth,ks,0,0,0,0,0,bayreuth kreisfreie stadt,"11.4748,49.8883,11.6725,49.977","11.5847,49.9377"
09463,0,Coburg,ks,0,0,0,0,0,coburg kreisfreie stadt,"10.8874,50.2217,11.0639,50.2986","10.9644,50.2639"
09464,0,Hof,ks,0,0,0,0,0,hof kreisfreie stadt,"11.8074,50.2671,11.9721,50.355","11.8973,50.3108"
09471,4,Bamberg,lk,0,0,4,0,0,bamberg landkreis,"10.4399,49.7211,11.2526,50.0953","10.8836,49.8934"
09472,12,Bayreuth,lk,3,2,3,1,3,bayreuth landkreis,"11.1843,49.6139,11.9039,50.1336","11.5551,49.8838"
09473,1,Coburg,lk,0,0,0,0,1,coburg landkreis,"10.7125,50.088,11.2018,50.3968","10.9423,50.2679"
09474,0,Forchheim,lk,0,0,0,0,0,forchheim landkreis,"10.9128,49.5873,11.3886,49.8746","11.1731,49.721"
09475,1,Hof,lk,0,0,1,0,0,hof landkreis,"11.5286,50.1032,12.1621,50.4247","11.8192,50.2732"
09476,0,Kronach,lk,0,0,0,0,0,kronach landkreis,"11.1685,50.1593,11.6104,50.5232","11.372,50.328"
09477,3,Kulmbach,lk,0,0,2,1,0,kulmbach landkreis,"11.2508,49.9346,11.6899,50.2685","11.4823,50.1026"
09478,0,Lichtenfels,lk,0,0,0,0,0,lichtenfels landkreis,"10.8746,49.9896,11.3636,50.2187","11.1169,50.1093"
09479,1,Wunsiedel i. Fichtelgebirge,lk,0,0,1,0,0,wunsiedel i. fichtelgebirge landkreis,"11.7891,49.9707,12.2754,50.2277","12.0419,50.0901"
09561,0,Ansbach,ks,0,0,0,0,0,ansbach kreisfreie stadt,"10.4543,49.2337,10.6568,49.3437","10.5636,49.2922"
09562,0,Erlangen,ks,0,0,0,0,0,erlangen kreisfreie stadt,"10.9163,49.5331,11.0534,49.6457","10.9781,49.5823"
09563,0,Fürth,ks,0,0,0,0,0,fürth kreisfreie stadt,"10.8932,49.4365,11.0286,49.5411","10.9654,49.4914"
09564,0,Nürnberg,ks,0,0,0,0,0,nürnberg kreisfreie stadt,"10.9879,49.3319,11.2801,49.5403","11.0827,49.4362"
09565,0,Schwabach,ks,0,0,0,0,0,schwabach kreisfreie stadt,"10.9704,49.2934,11.0874,49.3759","11.0236,49.3356"
09571,2,Ansbach,lk,0,0,2,0,0,ansbach landkreis,"10.0947,48.9768,10.9134,49.492","10.4681,49.2481"
09572,3,Erlangen-Höchstadt,lk,0,1,2,0,0,erlangen-höchstadt landkreis,"10.5918,49.4713,11.2886,49.7882","10.9149,49.64"
09573,0,Fürth,lk,0,0,0,0,0,fürth landkreis,"10.6804,49.3546,11.0262,49.549","10.8497,49.4467"
